student_id,subject,topic,difficulty,quiz_score,time_spent,accuracy,consistency,recommended_hours
293,Operating Systems,Deadlocks,Medium,48,123,99.36,Low,3.0
294,Machine Learning,Classification,Hard,79,131,86.64,High,2.8
295,Databases,Normalization,Hard,90,154,77.6,High,2.9
296,Python,Modules,Hard,79,132,70.58,High,2.75
297,Databases,Normalization,Medium,43,126,60.41,High,3.45
298,Operating Systems,Deadlocks,Easy,75,58,60.57,Medium,2.54
299,Operating Systems,Memory,Easy,47,61,74.52,High,1.39
300,DSA,Arrays,Hard,91,128,54.71,Low,4.39
301,Machine Learning,Clustering,Medium,58,146,57.57,High,3.1
302,Operating Systems,Threads,Medium,53,167,93.69,Medium,1.75
303,DSA,Stack,Hard,52,35,51.53,Medium,3.35
304,Operating Systems,Processes,Hard,53,59,65.7,Low,3.71
305,Databases,SQL Basics,Medium,54,102,91.72,High,2.34
306,Machine Learning,Regression,Hard,44,108,51.24,High,3.53
307,Databases,Joins,Hard,84,151,77.36,Low,2.83
308,Operating Systems,Deadlocks,Medium,80,49,53.68,Medium,3.02
309,DSA,Arrays,Medium,95,144,61.77,High,3.14
310,Machine Learning,Neural Networks,Medium,52,31,98.16,Low,2.32
311,Python,Basics,Medium,63,126,54.91,Medium,3.06
312,DSA,Stack,Easy,92,121,84.53,Medium,1.74
313,Operating Systems,Threads,Medium,45,141,55.27,Low,3.24
314,Databases,Joins,Hard,52,60,71.09,Low,2.76
315,Machine Learning,Neural Networks,Easy,77,88,50.73,High,2.59
316,Databases,Joins,Easy,70,25,78.37,Low,1.82
317,Machine Learning,Neural Networks,Medium,89,81,53.13,High,2.84
318,Machine Learning,Regression,Hard,95,167,97.61,High,2.52
319,Machine Learning,Clustering,Easy,100,124,54.03,High,2.73
320,Databases,Indexes,Easy,59,81,73.88,Low,1.92
321,Python,Modules,Easy,74,131,90.46,Medium,1.51
322,Databases,Joins,Hard,44,23,67.79,Medium,3.44
323,Python,Exceptions,Hard,95,59,75.12,High,2.9
324,Operating Systems,Threads,Hard,91,83,57.99,Low,4.4
325,Machine Learning,Neural Networks,Medium,90,139,77.57,Low,2.66
326,Machine Learning,Classification,Medium,86,108,74.31,Medium,2.26
327,Python,Basics,Hard,88,94,96.86,Medium,2.41
328,DSA,Stack,Easy,64,99,86.36,Low,1.83
329,Machine Learning,Clustering,Hard,59,97,97.85,Medium,2.69
330,Databases,SQL Basics,Hard,60,57,61.11,Medium,3.61
331,Python,Exceptions,Easy,50,25,69.75,Medium,2.82
332,Databases,Joins,Easy,100,92,71.75,Low,1.8
333,DSA,Stack,Hard,92,136,61.25,Low,3.9
334,Operating Systems,Memory,Hard,46,61,86.83,Medium,2.22
335,Python,File Handling,Hard,47,161,73.37,High,2.89
336,Databases,Normalization,Medium,92,29,82.32,Low,2.61
337,Machine Learning,SVM,Hard,95,153,53.42,Medium,3.65
338,DSA,Queue,Hard,67,138,90.84,Medium,2.52
339,DSA,Arrays,Medium,43,82,60.62,Medium,2.96
340,Machine Learning,Classification,Easy,98,170,54.12,High,2.86
341,DSA,Arrays,Medium,81,62,60.61,Low,3.32
342,DSA,Graphs,Easy,78,105,71.23,Low,2.19
343,Databases,Indexes,Hard,63,28,68.53,Medium,3.32
344,Python,Modules,Easy,49,36,97.61,High,1.34
345,Machine Learning,Regression,Hard,67,61,97.83,High,2.59
346,Python,Modules,Easy,99,141,96.17,Medium,1.79
347,Databases,Joins,Hard,40,75,51.26,High,3.33
348,Databases,Joins,Easy,74,120,51.23,High,2.26
349,Operating Systems,Memory,Medium,67,161,98.06,Low,2.9
350,Operating Systems,Memory,Hard,98,133,60.94,Medium,3.44
351,Machine Learning,Clustering,Hard,52,127,67.71,Medium,3.48
352,Databases,SQL Basics,Easy,100,73,77.27,High,1.29
353,Operating Systems,Deadlocks,Easy,85,115,60.23,High,2.23
354,DSA,Queue,Medium,47,56,80.55,Medium,2.08
355,Python,Basics,Medium,94,105,78.61,Low,2.85
356,Machine Learning,Neural Networks,Medium,44,128,77.07,High,2.09
357,DSA,Linked List,Medium,53,57,55.37,High,2.71
358,Python,Modules,Medium,93,53,67.01,Medium,2.98
359,Machine Learning,Neural Networks,Easy,71,66,83.17,Low,2.46
360,Machine Learning,Clustering,Medium,77,72,83.18,High,1.93
361,DSA,Queue,Medium,59,74,95.1,Low,2.93
362,Python,File Handling,Medium,53,80,83.05,Medium,1.82
363,Python,File Handling,Easy,66,135,52.88,Low,3.27
364,Python,Modules,Hard,78,52,58.11,Medium,3.82
365,Databases,Joins,Medium,68,38,51.79,Medium,3.3
366,Machine Learning,Neural Networks,Hard,56,171,67.56,Medium,3.5
367,Operating Systems,Deadlocks,Hard,50,50,58.15,Medium,3.31
368,Python,Basics,Hard,45,57,73.55,Medium,2.85
369,Operating Systems,Memory,Medium,85,103,97.74,Medium,2.39
370,Python,OOP,Easy,76,47,60.42,Medium,2.88
371,Databases,Indexes,Medium,60,117,71.47,Low,2.68
372,DSA,Graphs,Easy,54,34,69.08,Medium,2.24
373,Python,Basics,Medium,45,104,71.92,Medium,2.01
374,Databases,Indexes,Medium,65,146,97.73,Medium,2.35
375,DSA,Trees,Medium,40,48,76.76,Medium,2.4
376,Databases,SQL Basics,Medium,87,121,62.59,High,2.83
377,Databases,SQL Basics,Easy,97,95,77.02,Low,1.85
378,DSA,Arrays,Medium,78,61,97.29,High,2.28
379,Databases,Joins,Easy,50,36,75.2,Medium,1.6
380,Operating Systems,Deadlocks,Easy,86,41,88.66,Low,1.74
381,Databases,Joins,Medium,47,60,79.11,Low,2.49
382,DSA,Trees,Hard,57,159,75.37,Medium,2.57
383,Python,Modules,Hard,62,76,95.36,High,2.95
384,Machine Learning,Clustering,Hard,59,154,57.93,Low,4.45
385,Python,OOP,Hard,42,81,86.82,Medium,3.0
386,Databases,Joins,Easy,61,110,75.42,Low,2.24
387,Databases,Indexes,Medium,89,42,57.65,Medium,2.95
388,DSA,Arrays,Hard,45,134,64.58,Low,4.16
389,Operating Systems,Memory,Easy,75,56,74.86,Low,2.17
390,Operating Systems,Memory,Hard,64,59,65.05,Medium,3.72
391,DSA,Linked List,Easy,84,110,57.42,Medium,2.48
392,DSA,Stack,Hard,69,47,94.14,Low,3.3
393,Machine Learning,Clustering,Hard,80,72,63.26,Low,3.98
394,Databases,Normalization,Easy,53,167,75.9,Medium,1.23
395,DSA,Arrays,Medium,75,51,54.22,Low,3.89
396,Machine Learning,SVM,Easy,58,79,68.05,Medium,2.76
397,Operating Systems,Processes,Easy,62,145,93.61,Low,2.48
398,Python,File Handling,Easy,74,164,94.42,Medium,1.63
399,Operating Systems,Threads,Hard,79,129,60.07,Medium,3.37
400,Machine Learning,Clustering,Hard,43,118,71.67,Medium,2.98
401,Databases,Joins,Hard,41,161,53.14,Medium,3.74
402,Databases,SQL Basics,Easy,70,151,99.78,Low,1.96
403,DSA,Arrays,Hard,51,75,96.02,Medium,2.72
404,Operating Systems,Threads,Hard,75,154,93.39,Medium,2.55
405,DSA,Queue,Medium,58,120,77.05,Low,2.76
406,Python,Exceptions,Hard,75,158,50.89,Low,3.95
407,Operating Systems,Memory,Hard,83,70,84.62,High,2.85
408,Python,Modules,Medium,84,165,80.29,Medium,2.26
409,Machine Learning,Regression,Easy,61,132,95.27,High,1.84
410,Operating Systems,Processes,Hard,98,53,99.17,High,2.87
411,Databases,Indexes,Easy,72,68,97.68,Low,2.02
412,DSA,Linked List,Easy,62,104,54.69,High,2.9
413,Machine Learning,Classification,Medium,83,61,67.33,Medium,2.78
414,Databases,Indexes,Hard,53,161,57.76,Medium,3.83
415,Python,File Handling,Medium,57,75,55.51,Medium,3.06
416,Machine Learning,Neural Networks,Hard,78,69,88.96,High,2.57
417,Python,Basics,Easy,99,147,82.78,Low,2.18
418,Python,OOP,Medium,86,48,62.5,Medium,3.2
419,Machine Learning,SVM,Easy,57,53,53.09,High,2.81
420,DSA,Stack,Easy,56,43,71.32,Low,2.33
421,Machine Learning,Clustering,Hard,52,63,74.31,Low,2.89
422,Python,Modules,Medium,100,28,59.65,Medium,3.48
423,Operating Systems,Deadlocks,Easy,76,180,86.29,Medium,1.66
424,Machine Learning,Neural Networks,Easy,67,133,53.93,Medium,2.23
425,DSA,Linked List,Medium,59,38,80.82,Low,2.81
426,Machine Learning,Neural Networks,Easy,87,80,68.52,Low,2.83
427,Operating Systems,Threads,Hard,48,150,61.27,Low,4.29
428,Python,OOP,Hard,64,111,97.43,Low,2.88
429,Databases,Normalization,Medium,80,118,50.99,Low,3.26
430,Databases,Normalization,Medium,95,172,69.17,High,3.18
431,Machine Learning,Clustering,Medium,41,177,57.94,Low,3.93
432,DSA,Linked List,Hard,68,86,87.71,Low,2.77
433,Python,Exceptions,Hard,76,98,92.56,Low,2.93
434,Databases,Normalization,Easy,66,165,63.61,Medium,2.8
435,Databases,Normalization,Hard,69,81,59.04,Low,4.34
436,Python,File Handling,Easy,89,92,75.49,High,1.5
437,Databases,Indexes,Medium,89,36,73.79,High,1.73
438,DSA,Linked List,Easy,77,144,93.41,Low,1.72
439,Operating Systems,Threads,Medium,51,49,98.29,Low,2.89
440,DSA,Linked List,Medium,63,165,73.26,Medium,1.76
441,Operating Systems,Memory,Easy,60,80,54.92,Medium,2.49
442,Machine Learning,Classification,Medium,57,41,78.05,Low,2.51
443,DSA,Linked List,Easy,42,91,64.7,Medium,2.38
444,Machine Learning,SVM,Medium,62,109,74.38,Medium,1.76
445,Python,Exceptions,Hard,77,134,99.54,High,2.24
446,Machine Learning,Neural Networks,Easy,98,56,61.79,Low,3.42
447,Python,OOP,Medium,70,114,55.2,High,2.99
448,Databases,SQL Basics,Medium,57,53,59.33,High,2.76
449,Databases,Joins,Medium,60,142,64.18,High,2.72
450,DSA,Stack,Medium,89,90,76.34,Low,2.96
451,Operating Systems,Memory,Easy,54,136,71.83,Low,2.01
